code,name,cost_per_kg
SP-ING001,Zeera (Indian),1800.0
SP-ING002,Zeera (Pakistani),700.0
SP-ING003,Zeera (Powder),900.0
SP-ING004,Dhaniya (Sabit),350.0
SP-ING005,Lal Mirch (Powder),600.0
SP-ING006,Lal Mirch Loongi,500.0
SP-ING007,Kutti Lal Mirch,550.0
SP-ING008,Haldi,450.0
SP-ING009,Kala Namak,200.0
SP-ING010,Tatri,800.0
SP-ING011,Baadyaan,2500.0
SP-ING012,Teezpaat,800.0
SP-ING013,Loong (Cloves),3500.0
SP-ING014,Daarchini,1200.0
SP-ING015,Daarchini (Srilankan),2500.0
SP-ING016,Jaifal,4500.0
SP-ING017,Javitri,6000.0
SP-ING018,Bari Elachi,3000.0
SP-ING019,Haari Elachi,8000.0
SP-ING020,Kabachini,2000.0
SP-ING021,Pilplee,2000.0
SP-ING022,Lal Kashmiri (Sabit),800.0
SP-ING023,Kali Mirch,2000.0
SP-ING024,Saifeed Mirch (Dakni),2500.0
SP-ING025,Annar Daana,1200.0
SP-ING026,White Salt (Namak),50.0
SP-ING027,Raiee,250.0
SP-ING028,Dhaniya (Powder),450.0
SP-ING029,Ajwain,400.0
